Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0052659,0.0046285,0.091904,0,0,0,0.63,0.032866,-4.7247E-05,0.00037312,0.03236,-0.00040682,0.031374,0,0,0,0,0,0,package://x37/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/base_link.STL,,机架-1;补偿电机-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_shoulder_link,-0.0017322,-1.2049E-08,0.011761,0,0,0,0.4,7.7938E-05,-1.8587E-08,-3.6417E-06,7.4358E-05,1.2237E-11,7.9817E-05,0,0,0,0,0,0,package://x37/meshes/left_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/left_shoulder_link.STL,,跨电机-1;4340-1,left_shoulder.,left_shoulder_abduction,left_shoulder_joint,revolute,-0.00828743204546448,0.0800000000000006,-0.0160851055183165,0,0.411516846067488,0,base_link,0,0,1,9,0,-1,1,,,,,,,,
left_pitch_link,-0.010677,0.0034309,-9.5797E-05,0,0,0,0.45,6.2479E-05,-4.6603E-06,-2.4954E-07,7.4674E-05,-3.5353E-08,7.3044E-05,0,0,0,0,0,0,package://x37/meshes/left_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/left_pitch_link.STL,,连接件-1;4340-3,left_pitch.,left_pitch_joint,left_pitch_joint,revolute,0.0253000000000022,0,-0.0407477270848656,-3.14159265358979,0,0,left_shoulder_link,-1,0,0,9,0,-0.23,0.23,,,,,,,,
left_thigh_link,0.0085223,-0.019784,-0.019604,0,0,0,0.43,0.00012886,2.6054E-06,2.0573E-05,0.00016108,-5.9908E-06,9.097E-05,0,0,0,0,0,0,package://x37/meshes/left_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/left_thigh_link.STL,,大腿1-2;4340-4,left_thigh.,left_hip_joint,left_hip_joint,revolute,0.041999999999999,-0.0358357508034273,0,-3.14159265358979,0,0,left_pitch_link,0,-1,0,9,0,-1.57,1.57,,,,,,,,
left_shank_link,-0.00062601,-0.017923,0.04362,0,0,0,0.46,0.00028279,-1.8797E-07,2.4416E-06,0.00030484,1.2948E-05,0.00010499,0,0,0,0,0,0,package://x37/meshes/left_shank_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x37/meshes/left_shank_link.STL,,4340-5;小腿改1-1,left_shank.,left_knee_joint,left_knee_joint,revolute,0.0400000000000002,-0.0543,-0.0916515138991201,-3.14159265358979,-0.411516846067489,0,left_thigh_link,0,-1,0,9,0,-0.3,1.8,,,,,,,,
left_foot_link,0.005873,-0.023711,-0.011364,0,0,0,0.46,7.6336E-05,2.8386E-06,2.251E-06,0.00014798,-5.2321E-06,0.00015575,0,0,0,0,0,0,package://x37/meshes/left_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/left_foot_link.STL,,脚-1;4340-6,left_foot.,left_ankle,left_ankle_joint,revolute,-0.00199982224592043,-0.0543,0.149986668444178,-3.14159265358979,0,0,left_shank_link,0,-1,0,9,0,-0.75,0.75,,,,,,,,
right_shoulder_link,-0.0016815,-1.469E-08,0.011836,0,0,0,0.4,7.7655E-05,-1.8581E-08,-3.6305E-06,7.3951E-05,-2.0452E-11,7.9687E-05,0,0,0,0,0,0,package://x37/meshes/right_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/right_shoulder_link.STL,,Mirror跨电机-2;4340-2,right_shoulder.,right_shoulder_abduction,right_shoulder_joint,revolute,-0.0082874320454378,-0.0799999999999715,-0.0160851055183276,0,0.411516846067488,0,base_link,0,0,1,9,0,-1,1,,,,,,,,
right_pitch_link,-0.010677,-0.0034309,-9.5799E-05,0,0,0,0.45,6.2479E-05,4.6603E-06,-2.4955E-07,7.4674E-05,3.5345E-08,7.3044E-05,0,0,0,0,0,0,package://x37/meshes/right_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/right_pitch_link.STL,,Mirror连接件-2;Mirror4340-7,right_pitch.,right_pitch_joint,right_pitch_joint,revolute,0.0252999999999733,0,-0.0407477270848662,-3.14159265358979,0,0,right_shoulder_link,-1,0,0,9,0,-0.23,0.23,,,,,,,,
right_thigh_link,0.0085223,0.019784,-0.019604,0,0,0,0.43,0.00012886,-2.6054E-06,2.0573E-05,0.00016108,5.9908E-06,9.097E-05,0,0,0,0,0,0,package://x37/meshes/right_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x37/meshes/right_thigh_link.STL,,Mirror43401-7;Mirror大腿1-3,right_thigh.,right_hip_joint,right_hip_joint,revolute,0.042,0.035836,0,3.1416,0,0,right_pitch_link,0,-1,0,9,0,-1.57,1.57,,,,,,,,
right_shank_link,-0.000626,0.017923,0.04362,0,0,0,0.46,0.00028279,1.8788E-07,2.4415E-06,0.00030484,-1.2948E-05,0.00010499,0,0,0,0,0,0,package://x37/meshes/right_shank_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x37/meshes/right_shank_link.STL,,Mirror43402-7;Mirror小腿改-2,right_shank.,right_knee_joint,right_knee_joint,revolute,0.04,0.0543,-0.091652,-3.1416,-0.41152,0,right_thigh_link,0,-1,0,9,0,-0.3,1.8,,,,,,,,
right_foot_link,0.005873,-0.023711,0.011364,0,0,0,0.46,7.6336E-05,2.8386E-06,-2.251E-06,0.00014798,5.2321E-06,0.00015575,0,0,0,0,0,0,package://x37/meshes/right_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://x37/meshes/right_foot_link.STL,,Mirror脚-2;Mirror43403-7,right_foot.,right_ankle,right_ankle_joint,revolute,-0.0019998,0.0543,0.14999,0,0,0,right_shank_link,0,1,0,9,0,-0.75,0.75,,,,,,,,
